Year,Country,Age Group,F,M
2015,DOM,30-34,7.333997103,-7.508945836
2015,DOM,35-39,6.715218487,-6.674849491
2015,DOM,40-44,6.139678414,-6.020728656
2015,DOM,45-49,5.553036553,-5.35349432
2015,DOM,50-54,4.900504605,-4.713128091
2015,DOM,55-59,4.087230451,-3.951767962
2015,DOM,60-64,3.191686202,-3.053716589
2015,DOM,65-69,2.340763351,-2.187001626
2015,DOM,70-74,1.695807887,-1.549763209
2015,DOM,75-79,1.306953147,-1.147693568
2015,DOM,80+,1.541278786,-1.251086235
2018,DOM,0-4,9.296831516,-9.690658972
2018,DOM,5-9,9.134028626,-9.509679083
2018,DOM,10-14,8.980351882,-9.34281619
2018,DOM,15-19,8.877837996,-9.221880591
2018,DOM,20-24,8.820691397,-9.040618362
2018,DOM,25-29,8.466803979,-8.440834258
2018,DOM,30-34,7.528975038,-7.528763379
