"","year","country","c_name","area","income"
"342",2014,"GTM","Guatemala","Urban",3028.50083749475
"343",2014,"MEX","Mexico","Urban",4317.62646184205
"344",2014,"PER","Peru","Urban",545.360701458149
"345",2014,"PRY","Paraguay","Urban",2426058.28339466
"346",2014,"SLV","El Salvador","Urban",320.726154163585
"347",2014,"URY","Uruguay","Urban",10427.2253552596
"348",2014,"BOL","Bolivia","Rural",1036.47061462413
"349",2014,"BRA","Brazil","Rural",1025.11763032097
"350",2014,"COL","Colombia","Rural",392548.700114243
"351",2014,"CRI","Costa Rica","Rural",284867.181695352
"352",2014,"DOM","Dominican Republic","Rural",10492.1355785977
"353",2014,"ECU","Ecuador","Rural",306.27844979448
"354",2014,"GTM","Guatemala","Rural",1573.72877896599
"355",2014,"MEX","Mexico","Rural",1780.73794687491
"356",2014,"PER","Peru","Rural",201.312405991477
"357",2014,"PRY","Paraguay","Rural",1543052.48758887
"358",2014,"SLV","El Salvador","Rural",214.898559877318
"359",2014,"URY","Uruguay","Rural",7489.62169265685
"360",2016,"ARG","Argentina","Urban",3585.225292088
"361",2016,"BOL","Bolivia","Urban",2884.75814522982
"362",2016,"BRA","Brazil","Urban",1973.60192302356
"363",2016,"COL","Colombia","Urban",1015414.42808569
"364",2016,"CRI","Costa Rica","Urban",458409.623102746
"365",2016,"DOM","Dominican Republic","Urban",17511.1150872522
"366",2016,"ECU","Ecuador","Urban",532.616640142122
"367",2016,"GTM","Guatemala","Urban",3115.0044372091
"368",2016,"MEX","Mexico","Urban",4885.74688592172
"369",2016,"PER","Peru","Urban",597.628140386052
"370",2016,"PRY","Paraguay","Urban",2291378.49903554
"371",2016,"SLV","El Salvador","Urban",322.113619290162
"372",2016,"URY","Uruguay","Urban",12662.1585313714
"373",2016,"BOL","Bolivia","Rural",1094.54457064912
"374",2016,"BRA","Brazil","Rural",1125.07743149477
"375",2016,"COL","Colombia","Rural",454918.498175164
"376",2016,"CRI","Costa Rica","Rural",291765.167818182
"377",2016,"DOM","Dominican Republic","Rural",12939.6172890728
"378",2016,"ECU","Ecuador","Rural",314.693946051507
"379",2016,"GTM","Guatemala","Rural",1608.36556492953
"380",2016,"MEX","Mexico","Rural",2587.73291299734
"381",2016,"PER","Peru","Rural",216.831229339329
"382",2016,"PRY","Paraguay","Rural",1298081.87969386
"383",2016,"SLV","El Salvador","Rural",218.537572733912
"384",2016,"URY","Uruguay","Rural",8473.41794787174
"385",2017,"ARG","Argentina","Urban",4945.98922319334
"386",2017,"BOL","Bolivia","Urban",3082.42033481487
"387",2017,"BRA","Brazil","Urban",2073.12535393972
"388",2017,"CHL","Chile","Urban",573586.851867159
"389",2017,"COL","Colombia","Urban",1065245.51599852
"390",2017,"CRI","Costa Rica","Urban",470454.536730083
"391",2017,"DOM","Dominican Republic","Urban",17934.7027087158
"392",2017,"ECU","Ecuador","Urban",553.814478970843
"393",2017,"GTM","Guatemala","Urban",3220.8288671488
"394",2017,"PER","Peru","Urban",610.907203721784
"395",2017,"PRY","Paraguay","Urban",2492285.17423337
"396",2017,"SLV","El Salvador","Urban",340.109621154186
"397",2017,"URY","Uruguay","Urban",14055.147065001
"398",2017,"BOL","Bolivia","Rural",1272.39581721027
"399",2017,"BRA","Brazil","Rural",1176.84141171911
"400",2017,"CHL","Chile","Rural",402379.019148936
"401",2017,"COL","Colombia","Rural",492032.437078154
"402",2017,"CRI","Costa Rica","Rural",314675.812869723
"403",2017,"DOM","Dominican Republic","Rural",13835.0355360939
"404",2017,"ECU","Ecuador","Rural",330.768081180812
"405",2017,"GTM","Guatemala","Rural",1680.5526212609
"406",2017,"PER","Peru","Rural",213.268056266718
"407",2017,"PRY","Paraguay","Rural",1385695.60936236
"408",2017,"SLV","El Salvador","Rural",231.518151475237
"409",2017,"URY","Uruguay","Rural",9617.99590291046
"410",2018,"ARG","Argentina","Urban",6257.85984059614
"411",2018,"BOL","Bolivia","Urban",3097.24471305868
"412",2018,"BRA","Brazil","Urban",2211.42726539769
"413",2018,"COL","Colombia","Urban",1117118.35999373
"414",2018,"CRI","Costa Rica","Urban",471230.182999049
"415",2018,"DOM","Dominican Republic","Urban",19199.261481427
"416",2018,"ECU","Ecuador","Urban",548.712782340862
"417",2018,"GTM","Guatemala","Urban",3308.42777881603
"418",2018,"MEX","Mexico","Urban",5289.49425367562
"419",2018,"PER","Peru","Urban",629.128177922052
"420",2018,"PRY","Paraguay","Urban",2632483.17864215
"421",2018,"SLV","El Salvador","Urban",350.858627340848
"422",2018,"URY","Uruguay","Urban",14633.8157139238
"423",2018,"BOL","Bolivia","Rural",1254.58369740218
"424",2018,"BRA","Brazil","Rural",1233.80441212719
"425",2018,"COL","Colombia","Rural",491170.700558135
"426",2018,"CRI","Costa Rica","Rural",313039.658100024
"427",2018,"DOM","Dominican Republic","Rural",14738.4323106435
"428",2018,"ECU","Ecuador","Rural",315.834374277122
"429",2018,"GTM","Guatemala","Rural",1686.36375957245
"430",2018,"MEX","Mexico","Rural",3009.96966522548
"431",2018,"PER","Peru","Rural",248.550867677607
"432",2018,"PRY","Paraguay","Rural",1430487.40598654
"433",2018,"SLV","El Salvador","Rural",247.114937430973
"434",2018,"URY","Uruguay","Rural",10109.2020245332
